IDENT_MEN;VAG;NUMORDREABO;NB_ABONN;TYP_ABONN01;TYP_ABONN02;TYP_ABONN03;TYP_ABONN04;TYP_ABONN05;TYP_ABONN06;TYP_ABONN07;TYP_ABONN08;TYP_ABONN09;TYP_ABONN10;Nataudio;Proaudio;Msabonn;Msfacture;Msfactper;Abofixe;Cartemobile;Mcartemobile;Percartemobile;MSFACTPER_D;MSFACTURE_D;MCARTEMOBILE_D;PERCARTEMOBILE_D;MIMPUTINTERNET_D
00115;1;3;3;1;0;1;1;0;0;0;0;0;0;;;37;37;1;;2;;;12;37;;;
00116;1;1;4;1;0;0;1;0;0;0;0;0;0;;;62;62;1;;2;;;12;62;;;
00116;1;2;4;0;0;1;0;0;0;0;0;0;0;;;100;100;1;;2;;;12;100;;;
00116;1;3;4;0;1;0;0;0;0;0;0;0;0;;1;30;30;1;;2;;;12;30;;;
00116;1;4;4;0;1;0;0;0;0;0;0;0;0;;2;10;10;1;;2;;;12;10;;;
00117;6;1;1;0;1;0;0;0;0;0;0;0;0;;1;15;17;1;;2;;;12;17;;;
00118;5;1;2;1;1;0;1;0;0;0;0;0;0;;1;54;54;1;;2;;;12;53;;;
00118;5;2;2;0;1;0;0;0;0;0;0;0;0;;2;19;19;1;;2;;;12;19;;;
00119;3;1;1;1;1;0;1;0;0;0;0;0;0;;1;51;51;1;;2;;;12;50;;;
00120;5;1;1;1;1;1;1;0;1;0;1;1;0;;1;30;30;1;;2;;;12;30;;;
00121;6;1;1;1;1;0;1;0;0;0;0;0;0;;1;75;75;1;;2;;;12;75;;;
00122;2;1;5;1;0;0;0;0;0;0;0;0;0;;;45;45;1;;2;;;12;45;;;
00122;2;2;5;0;1;0;0;0;0;0;0;0;0;;2;16;16;1;;2;;;12;16;;;
00122;2;3;5;0;1;0;0;0;0;0;0;0;0;;3;23;23;1;;2;;;12;23;;;
00122;2;4;5;0;1;0;0;0;0;0;0;0;0;;4;17;17;1;;2;;;12;17;;;
00122;2;5;5;0;0;1;0;0;0;0;0;0;0;;;70;70;1;;2;;;12;70;;;
00123;2;1;1;1;1;1;1;0;1;0;0;0;0;;1;90;107;1;;2;;;12;107;;;
00124;4;1;2;1;0;0;1;0;0;0;0;0;0;;;20;20;1;;2;;;12;20;;;
00124;4;2;2;0;1;0;0;0;0;0;0;0;0;;1;10;10;1;;2;;;12;10;;;
00125;3;1;3;0;1;0;0;0;1;0;0;0;0;;1;25;25;1;;2;;;12;25;;;
00125;3;2;3;0;0;1;0;0;0;0;0;0;0;;;8;8;1;;2;;;12;8;;;
00125;3;3;3;1;0;0;1;0;0;0;0;0;0;;;33;33;1;;2;;;12;33;;;
00126;1;1;1;1;1;1;1;0;1;0;0;0;0;;1;27;37;1;;2;;;12;37;;;
00127;2;1;2;1;1;1;1;0;0;0;0;0;0;;1;70;70;1;;2;;;12;70;;;
00127;2;2;2;0;1;0;0;0;0;0;0;0;0;;2;20;20;1;;2;;;12;20;;;
00128;4;1;1;1;1;1;1;0;0;0;0;0;0;;1;20;25;1;;2;;;12;25;;;
00129;1;1;2;0;1;0;0;0;0;0;0;0;0;;1;50;50;1;;1;10;1M;12;50;10;12;
00129;1;2;2;1;0;1;0;0;0;0;0;0;0;;;24;24;1;;1;10;1M;12;24;10;12;
00130;6;;;;;;;;;;;;;;;;;;;;;;;;;;105
00130;6;1;1;0;1;0;0;0;0;0;0;0;0;;1;20;22;1;1;2;;;12;22;;;
00131;3;1;2;1;0;0;0;0;0;0;0;0;0;;;45;45;1;;2;;;12;45;;;
00131;3;2;2;0;1;0;0;0;0;0;0;0;0;;1;999999;999999;;;2;;;12;10;;;
00132;4;1;3;1;0;1;1;0;0;0;0;0;0;;;34;34;1;;2;;;12;34;;;
00132;4;2;3;1;1;1;1;0;0;1;1;1;0;;1;50;50;1;;2;;;12;50;;;
00132;4;3;3;1;1;0;1;0;0;0;0;0;0;;2;43;43;1;;2;;;12;44;;;
00133;6;1;2;1;1;1;1;0;1;0;1;1;0;;1;90;102;1;;2;;;12;102;;;
00133;6;2;2;0;1;0;0;0;1;0;1;0;0;;3;54;54;1;;2;;;12;54;;;
00134;4;;;;;;;;;;;;;;;;;;;;;;;;;;135
00134;4;1;1;0;0;1;0;0;0;0;0;0;0;;;29;29;1;;1;10;1J;12;29;10;48;
00135;6;1;2;1;0;1;1;0;0;0;0;0;0;;;38;40;1;;2;;;12;40;;;
00135;6;2;2;0;1;0;1;0;0;0;0;0;0;;1;2;4;1;;2;;;12;4;;;
00136;4;1;4;1;0;0;0;0;0;0;0;0;0;;;20;20;1;;2;;;12;20;;;
00136;4;2;4;0;0;0;1;0;0;0;0;0;0;;;24;24;1;;2;;;12;24;;;
