IDENT_MEN;vag;BCCOD;BCNACHAT;BCLIEU01;BCLIEU02;BCLIEU03;BCLIEU04;BCLIEU05;BCLIEU06;BCLIEU07;BCLIEU08;BCLIEU09;BCLIEU10;BCPRIX;BCLIEU00;BCPRIX_D
00961;1;4;99;0;0;0;0;0;0;0;0;0;0;999999;;31
00964;1;3;10;0;0;0;0;0;0;0;1;0;0;150;;150
00968;6;3;6;0;0;1;0;0;0;0;1;0;0;110;;110
00971;2;3;3;0;0;0;0;0;0;1;0;0;0;60;;60
00972;1;2;99;0;0;0;0;0;0;0;0;0;0;999999;;24
00972;1;3;2;0;0;0;0;0;0;0;1;0;0;25;;25
00973;6;3;4;0;0;1;0;0;0;0;0;0;0;60;;60
00973;6;9;2;0;0;0;1;0;0;0;0;0;0;20;;20
00976;6;3;6;0;0;0;0;0;0;0;1;0;0;70;;70
00977;5;3;5;0;0;0;0;0;0;1;1;0;0;80;;80
00981;1;3;2;0;0;0;0;0;0;0;1;0;0;34;;34
00983;2;1;2;0;0;1;0;0;0;0;0;0;0;25;;25
00983;2;4;99;0;0;0;0;0;0;0;0;0;0;999999;;6
00983;2;9;2;0;0;0;1;0;0;0;0;0;0;20;;20
00986;2;3;2;0;0;0;1;0;0;0;1;0;0;14;;14
00986;2;5;1;0;0;0;0;0;0;1;0;0;0;25;;25
00986;2;7;1;0;0;0;0;0;0;0;1;0;0;55;;55
00986;2;9;3;0;0;0;0;0;0;1;0;0;0;40;;40
00991;6;3;6;0;0;0;1;0;0;0;0;0;0;200;;200
00991;6;9;4;0;0;0;1;0;0;0;0;0;0;130;;130
00992;3;3;5;0;0;0;0;0;0;0;1;0;0;50;;50
00992;3;5;2;0;0;1;0;0;0;0;1;0;0;30;;30
00992;3;7;99;0;0;0;0;0;0;0;0;0;0;999999;;20
00993;1;3;8;0;0;0;0;0;0;0;1;0;0;999999;;49
00994;5;4;99;0;0;0;0;0;0;0;0;0;0;999999;;20
00995;6;3;2;0;0;0;0;0;0;0;0;0;1;2;;2
00996;4;4;99;0;0;0;0;0;0;0;0;0;0;999999;;42
01001;5;3;6;0;0;0;0;0;0;0;0;1;0;20;;20
01009;1;3;4;0;0;0;1;0;0;1;0;0;0;999999;;30
01018;1;2;99;0;0;0;0;0;0;0;0;0;0;999999;;6
01018;1;4;99;0;0;0;0;0;0;0;0;0;0;999999;;40
01018;1;9;3;0;0;0;1;0;0;0;0;0;0;20;;20
01031;1;3;20;0;0;0;0;0;0;0;1;0;0;999999;;20
01032;6;3;1;0;0;0;0;0;0;0;1;0;0;12;;12
01042;1;3;4;0;0;0;0;0;0;0;1;0;0;50;;50
