IDENT_MEN;VAG;NBVEHIC;MARQUE;CARBU1;CARBU2;CARBU3;CARBU4;CARBU5;Anvoi;EXPVOI1;EXPVOI2;EXPVOI3;EXPVOI4;Provoi;Protrav;Km_Auto;Repar_auto;Fraisvoi;Persvoi;Quivoi;Apvoi;Gravoi;Recvoi;Moisvoi;Lieuvoi;Acqvoi;Crevoi;Empvoi;Apervoi;Mcrevoi;Ancvoi;Repvoi;Privoi;MARQUE_D;NUMVEHIC;FRAISVOI_D;REPAR_AUTO_D;MCREVOI_D;PRIVOI_D;REPVOI_D
00133;6;2;DS 5;0;1;0;0;0;2012;1;0;1;0;;5;411;0;0;1;1;3;;2015;;;;;;;;;;;CITROEN DS5;2;;;;;
00135;6;2;CHEVROLET MATIZ;1;0;0;0;0;2009;1;0;1;0;;20;174;0;0;1;1;3;;2014;;;;;;;;;;;CHEVROLET;1;;;;;
00135;6;2;RENAULT CLIO 4;1;0;0;0;0;2016;0;0;1;0;;;;0;134;1;2;3;;2016;8;;;;;;;;;;RENAULT CLIO;2;134;;;;
00136;4;1;OPEL CORSA;1;0;0;0;0;2013;0;0;1;0;;;;0;150;1;3;3;;2013;;;;;;;;;;;OPEL CORSA;1;150;;;;
00137;5;2;KANGOO;1;0;0;0;0;2011;0;0;1;0;;;;0;0;3;;3;;2016;11;3;2;3;;;;5;;16000;RENAULT KANGOO;1;;;;16000;
00137;5;2;MODUS;1;0;0;0;0;2011;0;0;1;0;;;;0;120;1;1;3;;2014;;;;;;;;;;;RENAULT MODUS;2;120;;;;
00138;1;3;MEGANE;0;1;0;0;0;2011;1;0;1;0;;30;63;0;0;1;1;3;;2016;5;2;2;1;8500;300;600;1;3000;11800;RENAULT MEGANE;1;;;600;11800;3000
00138;1;3;PEUGEOT 308;1;0;0;0;0;2008;1;0;1;0;;60;160;0;0;1;3;3;;2014;;;;;;;;;;;PEUGEOT 308;2;;;;;
00138;1;3;PEUGEOT RCZ;0;1;0;0;0;2011;1;0;1;0;;0;0;0;0;1;2;3;;2014;;;;;;;;;;;PEUGEOT;3;;;;;
00139;5;1;CLIO ESTATE;0;1;0;0;0;2015;0;0;1;0;;;;0;0;1;1;3;;2016;10;2;2;1;6000;0;1232;1;10900;16900;RENAULT CLIO;1;;;1232;16900;10900
