Ratio salaire horaire / Smic,Travailleur non pauvre,Travailleur pauvre
0.9631843903741091,0.6245233381547379,0.2772244676155799
0.9690541759926276,0.6269516398924011,0.2841436324765402
0.9749239616111459,0.6293336951739656,0.2912359690314021
0.9807937472296644,0.6316644705742369,0.2984957298991173
0.9866635328481828,0.6339378087918294,0.3059160912825075
0.9925333184667012,0.636147907571798,0.31350048421223875
0.9984031040852196,0.6382784545893863,0.32123975301465235
1.004272889703738,0.6403207592633233,0.32911146177993117
1.0101426753222564,0.6422813878343941,0.3371072926601236
1.0160124609407748,0.6441563866020958,0.3452194977950867
1.0218822465592932,0.6459420127763887,0.3534411465354313
1.0277520321778117,0.6476316572190843,0.3617663363647574
1.0336218177963301,0.6491976579580478,0.3701903594752534
1.0394916034148485,0.6506616049925757,0.37871862641358284
1.0453613890333668,0.6520204232626668,0.38734720963259833
1.0512311746518854,0.6532710279840759,0.3960688831962734
1.0571009602704038,0.6544103119286279,0.4048842764966276
1.0629707458889222,0.6554090279201225,0.41379435197618875
1.0688405315074405,0.6562778976184336,0.4227999664841982
1.074710317125959,0.6570224726245089,0.43190139338727884
1.0805801027444775,0.6576389693721177,0.4410978183512076
1.0864498883629958,0.6581234396653063,0.450396196565231
1.0923196739815142,0.6584565548365231,0.45978452326556263
1.0981894596000328,0.6586192441072366,0.4692479212883119
1.1040592452185511,0.6586326505762831,0.47877384833796816
1.1099290308370695,0.658491725477409,0.48834668713994545
1.1157988164555879,0.6581912592014476,0.4979478810615907
1.1216686020741065,0.6577258858521202,0.5075561969314226
1.1275383876926248,0.6570372534774708,0.5171481115265748
1.1334081733111432,0.6561667735150244,0.5266885344684419
1.1392779589296615,0.655109349928884,0.5361481742947068
1.1451477445481801,0.6538590764180471,0.5455029509832273
1.1510175301666985,0.6524100372754625,0.5547280831400254
1.1568873157852169,0.6507175086076261,0.5638006954260723
1.1627571014037352,0.6487859338319663,0.5727003722738486
1.1686268870222538,0.6466336106989401,0.581409612161343
1.1744966726407722,0.644255270698372,0.5899141703934693
1.1803664582592905,0.6416458740043869,0.5981715019370093
1.186236243877809,0.6387835980933975,0.606199462927703
1.1921060294963275,0.6356243465069836,0.614002266509208
1.1979758151148459,0.6322182529432097,0.6215809462135732
1.2038456007333642,0.6285625274986908,0.6289387709056983
1.2097153863518826,0.6246548969243012,0.6360807813957781
1.215585171970401,0.6204936231408019,0.6430133174534624
1.2214549575889195,0.6160124731452291,0.6497435500079368
1.227324743207438,0.6112668727864181,0.6562498205435802
1.2331945288259563,0.6062688107604259,0.6625694206061218
1.2390643144444746,0.6010207414271319,0.6687110530965331
1.2449341000629932,0.5955259024013727,0.674680478983654
1.2508038856815116,0.5897544599432186,0.6804825530897063
1.25667367130003,0.5837144086738192,0.6861211470909084
1.2625434569185483,0.5774498541950401,0.6915990961665505
1.2684132425370669,0.5709692223720917,0.6969173898920601
1.2742830281555853,0.5642817792023819,0.7020511545948248
1.2801528137741036,0.5573914459650571,0.7070250735693034
1.286022599392622,0.5502742852105188,0.7118363940292491
1.2918923850111406,0.5429949914955374,0.7164809658096787
1.297762170629659,0.5355674829266412,0.7209531570813721
1.3036319562481773,0.5280062573206242,0.7252457869901947
1.3095017418666957,0.5203263637437637,0.729350084663016
1.3153715274852142,0.5125269338743905,0.7332512314551286
1.3212413131037326,0.504647047078991,0.73690686153087
1.327111098722251,0.49671092010495665,0.7403324750347293
1.3329808843407693,0.48873531802480147,0.7435133591667904
1.338850669959288,0.4807369969449141,0.7464346451194681
1.3447204555778063,0.4727348032123082,0.7490818870787377
1.3505902411963246,0.4647558557451458,0.7514416999091458
1.356460026814843,0.4568162071920707,0.7535024411642574
1.3623298124333616,0.4489306758873812,0.755243368147184
1.36819959805188,0.44111347052000655,0.7566285561069757
1.3740693836703983,0.4333781561556728,0.7577003739804805
1.3799391692889167,0.42577142166567444,0.7584652548401833
1.385808954907435,0.4182795155335851,0.7589347437840515
1.3916787405259536,0.4109115011769556,0.7591254778412724
1.397548526144472,0.40367562360069725,0.7590589806913617
1.4034183117629904,0.3965791508564632,0.7587612713918522
1.4092880973815087,0.3896564437172718,0.7582539086562381
1.4151578830000273,0.3829034213856228,0.7575692203040633
1.4210276686185457,0.37630571288568554,0.756765742068656
1.426897454237064,0.36986448609104683,0.7558782176951445
1.4327672398555824,0.36357998963090704,0.7549396236010375
1.438637025474101,0.35746276298517937,0.7539800472644795
1.4445068110926194,0.35153227292690925,0.7530256633588551
1.4503765967111377,0.34574986451215756,0.7520978330543521
1.456246382329656,0.3401110659981257,0.7512159167550783
1.4621161679481747,0.3346108601140379,0.7503910838463628
1.467985953566693,0.32924371385924045,0.7496175347154598
1.4738557391852114,0.3240333930146886,0.7488878524215207
1.4797255248037298,0.3189423878427976,0.7481892670914485
1.4855953104222483,0.31395898043905335,0.7475043920906259
1.4914650960407667,0.3090760543623593,0.7468120839178052
1.497334881659285,0.30428646007465204,0.7460884025716528
1.5032046672778034,0.29959415557046754,0.7452999499094385
1.509074452896322,0.294987916821793,0.74441287179758
1.5149442385148404,0.29044876199565156,0.7434079135046784
1.5208140241333588,0.28597058497872657,0.7422632427095621
1.5266838097518771,0.28154760939574763,0.7409601641576243
1.5325535953703957,0.27717600991315067,0.7394836382646083
1.538423380988914,0.27285834184379126,0.737822658591136
1.5442931666074324,0.2685780944869923,0.7359704865956934
1.5501629522259508,0.2643320416727684,0.7339057229143451
1.5560327378444694,0.2601174085166147,0.7316389564392309
1.5619025234629877,0.25593186996559675,0.7291919414799385
1.567772309081506,0.251779272264651,0.7265762080071355
1.5736420947000245,0.24765418594585986,0.7238057775061044
1.5795118803185428,0.24355445919771163,0.7208965772878719
1.5853816659370614,0.2394802542647913,0.7178658355991323
1.5912514515555798,0.23543205777689036,0.7147314690747232
1.5971212371740982,0.23141390833817913,0.711504135940294
1.6029910227926165,0.22742991746113878,0.7082105354109738
1.608860808411135,0.22347681422288274,0.7048700435828587
1.6147305940296535,0.21955640844184446,0.701495697559189
1.6206003796481718,0.21567060248205133,0.69809835100221
1.6264701652666902,0.21182143612899582,0.6946865237603832
1.6323399508852088,0.20802336440803237,0.6912663369659333
1.6382097365037271,0.20426756397379658,0.6878415335656561
