IDENT_MEN;VAG;NBVAC;NUMSEJ;Paysej;SITUSJ1;SITUSJ2;SITUSJ3;SITUSJ4;SITUSJ5;Motifsej;QUISEJ01;QUISEJ02;QUISEJ03;QUISEJ04;QUISEJ05;QUISEJ06;QUISEJ07;QUISEJ08;QUISEJ09;QUISEJ10;QUISEJ11;QUISEJ12;QUISEJ13;QUISEJ14;QUISEJ15;QUISEJ16;QUISEJ17;QUISEJ18;QUISEJ19;QUISEJ20;Dursej;Forfait;TYPFORF1;TYPFORF2;TYPFORF3;TYPFORF4;TYPFORF5;TYPFORF6;TYPFORF7;TYPFORF8;Preforf;Mforfait;Trforf;Trans;Mtrans;Trtrans;Heber;Mheber;Trheber;Repas;Mrepas;Trrepas;Alimdo;Malimdo;Tralimdo;Lois;Mlois;Trlois;Aut;Natsej;Maut;Traut;TRSEJOUR;MALIMDO_D;MAUT_D;MFORFAIT_D;MHEBER_D;MLOIS_D;MREPAS_D;MTRANS_D;TRSEJOUR_D
00074;3;2;2;3;1;1;1;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;11;;;;;;;;3400
00077;3;1;1;1;1;0;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;2;0;0;0;0;0;0;0;0;;;;1;300;;2;;;1;250;;1;250;;2;;;2;;;;;250;;;;;250;300;
00079;1;5;1;3;1;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;2;0;0;0;0;0;0;0;0;;;;1;260;;1;600;;2;;;2;;;2;;;1;FLACON SOLAIRE;20;;;;20;;600;;;260;
00079;1;5;2;3;0;0;0;1;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;9;;;;;;;;800
00079;1;5;3;3;1;1;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;11;;;;;;;;3500
00079;1;5;4;3;0;1;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;9;;;;;;;;1400
00079;1;5;5;1;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;3;;;;;;;;50
00080;6;1;1;1;0;1;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;1;0;1;0;0;0;;200;;2;;;2;;;1;999999;2;1;40;;2;;;2;;;;;40;;200;;;180;;
00082;3;1;1;3;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;1;0;1;1;0;1;0;0;;699;;1;300;;2;;;2;;;1;20;;2;;;1;BIJOUX  ET SOUVENIRS;250;;;20;250;699;;;;300;
00085;1;1;1;1;0;0;0;1;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;1;0;0;0;0;0;;999999;7;1;400;;1;999999;7;1;999999;2;1;100;;1;240;;2;;;;;100;;1140;1060;240;110;400;
00086;1;3;1;1;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;2;0;0;0;0;0;0;0;0;;;;1;2500;;2;;;1;999999;6;2;;;2;;;2;;;;;;;;;;620;2500;
00086;1;3;2;1;1;0;1;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;10;;;;;;;;2000
00086;1;3;3;3;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;7;;;;;;;;520
00087;6;1;1;1;0;0;0;1;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;2;0;0;0;0;0;0;0;0;;;;1;999999;3;1;662;;2;;;1;150;;2;;;2;;;;;150;;;662;;;240;
00088;5;1;1;3;0;0;0;1;0;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;2;0;0;0;0;0;0;0;0;;;;1;2200;;2;;;1;500;;1;200;;1;1000;;1;CADEAUX;200;;;200;200;;;1000;500;2200;
00089;3;99;1;3;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;999;2;0;0;0;0;0;0;0;0;;;;1;999999;3;2;;;2;;;1;999999;2;2;;;2;;;;;180;;;;;;290;
00092;3;3;1;1;1;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;;;;1;150;;1;150;;2;;;1;999999;2;1;999999;1;1;PRODUITS DU TERROIR;999999;2;;120;40;;150;80;;150;
00092;3;3;2;1;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;3;;;;;;;;90
00092;3;3;3;1;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;3;;;;;;;;79
00093;5;10;1;3;0;1;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;;;;2;;;1;800;;1;400;;1;100;;1;200;;2;;;;;100;;;800;200;400;;
00093;5;10;2;3;1;1;1;1;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;10;;;;;;;;1660
00093;5;10;3;3;0;0;0;1;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;11;;;;;;;;4170
00093;5;10;4;3;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;3;;;;;;;;75
00093;5;10;5;3;1;0;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;11;;;;;;;;3300
00094;2;1;1;1;1;0;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;;;;1;90;;1;380;;1;40;;1;50;;1;25;;2;;;;;50;;;380;25;40;90;
00096;5;6;1;1;1;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;0;0;1;0;1;1;0;0;;600;;1;137;;2;;;2;;;2;;;1;100;;2;;;;;;;600;;100;;137;
00096;5;6;2;1;1;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;7;;;;;;;;520
00096;5;6;3;1;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;5;;;;;;;;280
00096;5;6;4;1;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;5;;;;;;;;250
00096;5;6;5;1;1;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;5;;;;;;;;290
00097;5;2;1;1;0;0;0;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;;;;1;25;;2;;;2;;;2;;;2;;;2;;;;;;;;;;;25;
00097;5;2;2;1;0;0;0;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;2;;;;;;;;25
00100;4;2;1;1;1;0;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;;;;1;640;;1;200;;1;999999;1;1;175;;1;999999;1;1;CARTES POSTALES;5;;;175;5;;200;20;90;640;
00100;4;2;2;1;1;0;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;9;;;;;;;;830
00101;5;2;1;1;0;1;0;0;0;5;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;0;;;;1;160;;2;;;2;;;1;100;;1;250;;1;SOUVENIRS LIVRES FROMAGES;45;;;100;45;;;250;;160;
00101;5;2;2;1;0;1;0;0;0;5;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;8;;;;;;;;615
