IDENT_MEN;numbd;BNAT_PROD;BDCOD;NAT_PROD_A;NACHA_PROD;BDNEUF_PROD;BDCRED_PROD;BDLIEU_PROD;BDPRIX_PROD;BDPRIX_PRODRECUP;BDPRIX_PROD_D;BDOFFR_PROD;vag
10140;3;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;1;1;3;7;50;;50;;4
10142;1;Expresso, cafetière, bouilloire, grille pain ou appareil pour la préparation de jus;112;;1;1;3;3;50;;50;;5
10142;2;Console de jeux vidéo de salon ou portable;206;;1;1;3;3;360;;360;;5
10143;1;Téléphone portable;215;;2;1;3;3;169;;169;4;3
10143;2;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;1;1;3;3;97;;97;;3
10143;3;ENSEMBLE TABLE ET CHAISES;401;;;1;3;7;1310;;1310;;3
10143;4;BUREAU;405;;;1;3;7;196;;196;;3
10143;5;SOMMIER ET MATELAS;406;;;1;3;7;986;;986;;3
10144;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;3;7;600;;600;;6
10144;2;Home cinéma, installation complète;202;;1;1;3;4;250;;250;;6
10144;3;Console de jeux vidéo de salon ou portable;206;;1;1;3;7;400;;400;;6
10144;4;Micro-ordinateur portable;212;;1;1;3;4;800;;800;;6
10144;5;LIT;405;;;1;3;3;200;;200;;6
10144;6;LITERIE (MATELAS);406;;;1;3;3;300;;300;;6
10144;7;LITERIE (SOMMIER);406;;;1;3;3;300;;300;;6
10144;8;MAXI COSI;412;;;1;3;8;150;;150;;6
10145;1;Hotte de cuisine;108;;1;1;3;7;480;;480;;1
10145;2;Cuiseur, friteuse, autocuiseur;113;;1;2;3;10;750;;750;;1
10145;3;Machine à pain, yaourtière, sorbetière ou confiturier;115;;1;1;3;4;100;;100;;1
10145;4;Appareil photo numérique;231;;1;1;3;7;280;;280;;1
10145;5;LIT;405;;;1;3;8;130;;130;;1
10145;6;MATELAS;406;;;1;3;8;100;;100;;1
10145;7;EVIER PLAN DE TRAVAIL;407;;;1;3;7;450;;450;;1
10145;8;CHAISE DE JARDIN;408;;;1;3;8;60;;60;;1
10146;1;Aspirateur, nettoyeur vapeur, shampouineuse;109;;1;1;3;3;340;;340;;3
10146;2;lecteur DVD/blue ray, lecteur graveur de CD/DVD de salon, magnétoscope...;203;;1;1;3;3;10;;10;;3
10146;3;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;1;1;3;8;100;;100;;3
10146;4;CANAPE;403;;;1;3;3;900;;900;;3
10146;5;MEUBLE TV;404;;;1;3;8;1400;;1400;;3
10146;6;PLACARD;405;;;1;3;8;250;;250;;3
10146;7;LUMINAIRE;411;;;1;3;8;2000;;2000;;3
10147;1;Congélateur indépendant;102;;1;1;3;7;200;;200;;4
10149;1;Lave-linge, lave-linge séchant;103;;1;2;3;3;130;;130;;1
10149;2;Tablette PC;214;;2;1;3;7;140;;140;;1
10149;3;Téléphone portable;215;;2;1;3;8;1;;1;1;1
10149;4;CANAPE;403;;;2;3;10;200;;200;;1
10149;5;1 LIT ENFANT;405;;;2;3;7;255;;255;;1
10149;6;1 LIT ENFANT;405;;;2;3;7;255;;255;;1
10151;1;Téléphone portable;215;;1;1;3;8;89;;89;3;6
10153;1;Tondeuse à gazon;301;;1;1;3;10;500;;500;;5
10154;1;Fer à repasser, centrale à vapeur;119;;1;1;3;4;79;;79;;6
10154;2;Téléviseur, combiné télé magnétoscope/DVD;201;;1;1;3;7;499;;499;;6
10154;3;Cartouche d'imprimante;219;;4;1;3;4;20;;20;;6
10154;4;Autre périphérique informatique (clef USB, souris, clavier, enceintes...);221;CLE USB;1;1;3;4;10;;10;;6
10154;5;Tondeuse à gazon;301;;1;1;3;7;299;;299;;6
10154;6;Débroussailleuse, taille haie, broyeuse, tronçonneuse et autres appareils d'entretien du jardin;305;;1;1;3;4;45;;45;;6
10155;1;Tablette PC;214;;1;1;3;3;173;;173;;1
10156;1;Lave-linge, lave-linge séchant;103;;1;1;3;7;339;;339;;4
10156;2;Téléviseur, combiné télé magnétoscope/DVD;201;;1;2;3;10;200;;200;;4
10157;1;Téléphone portable;215;;2;1;3;4;188;;188;4;2
10157;2;Lecteur vidéo portable (MP4);234;;1;1;3;4;179;;179;;2
10157;3;BIBLIOTHEQUE;404;;;1;3;7;99;;99;;2
10157;4;LIT ENFANT;405;;;2;3;10;40;;40;;2
10157;5;SOMMIER MATELAS;406;;;1;3;7;385;;385;;2
10157;6;ETAGERES;411;;;1;3;4;60;;60;;2
10157;7;PARC;412;;;2;3;10;40;;40;;2
10157;8;ETAGERE;414;;;1;3;7;89;;89;;2
10158;1;BUFFET;401;;;1;3;8;999999;202;202;;6
10158;2;TABLE ET CHAISE;402;;;1;3;8;999999;999999;200;;6
10158;3;FAUTEUIL;403;;;1;3;8;999999;2000;2000;;6
10158;4;CHAMBRE A COUCHER;405;;;1;3;8;999999;700;700;;6
10159;1;Disque dur externe;218;;1;1;3;4;50;;50;;2
10159;2;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;1;1;3;3;250;;250;;2
10159;3;MEUBLE DE BUREAU;410;;;1;3;7;70;;70;;2
10160;1;Tablette PC;214;;1;1;3;7;180;;180;;3
10160;2;MATELAS;406;;;1;3;8;630;;630;;3
10161;1;Téléphone portable;215;;1;1;3;8;79;;79;3;5
10161;2;Lecteur vidéo portable (MP4);234;;1;2;3;10;50;;50;;5
10161;3;Instrument de musique;242;;1;2;3;10;79;;79;;5
10161;4;GPS;245;;1;1;3;9;300;;300;;5
10161;5;Débroussailleuse, taille haie, broyeuse, tronçonneuse et autres appareils d'entretien du jardin;305;;1;1;3;5;80;;80;;5
10161;6;Perceuse, visseuse, ponceuse, scie sauteuse, poste à souder, chalumeau et autres;306;;1;1;3;9;40;;40;;5
10161;7;MATELAS;406;;;2;3;9;40;;40;;5
10161;8;MATELAS;406;;;1;3;9;160;;160;;5
10161;9;barbecue de jardin;409;;;1;3;5;22;;22;;5
10162;1;Téléphone portable;215;;4;1;3;6;115;;115;4;2
10162;2;Cartouche d'imprimante;219;;6;1;3;7;70;;70;;2
10162;3;Nettoyeur haute pression (ex : karcher );304;;1;1;3;7;999999;130;130;;2
10162;4;BUFFET DE CUISINE;402;;;1;3;6;130;;130;;2
10162;5;ARMOIRE;405;;;1;3;6;200;;200;;2
10162;6;TABLES ET CHAISES;408;;;1;3;4;100;;100;;2
10162;7;barbecue de jardin;409;;;1;3;1;60;;60;;2
10163;1;Téléphone portable;215;;1;1;3;7;129;;129;4;1
10164;1;Four à micro-ondes;107;;1;1;3;4;49;;49;;3
10164;2;TABLE ET FAUTEUIL DE JARDIN;408;;;1;3;7;390;;390;;3
10166;1;Nettoyeur haute pression (ex : karcher );304;;1;1;3;7;500;;500;;3
10167;1;Micro-ordinateur portable;212;;2;1;3;7;700;;700;;4
10167;2;Téléphone portable;215;;1;1;3;4;79;;79;4;4
10167;3;Instrument de musique;242;;1;2;3;3;50;;50;;4
10167;4;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;3;1;3;7;119;;119;;4
10167;5;Motoculteur, motobineuse;302;;1;1;3;7;250;;250;;4
10167;6;TABLE SALLE A MANGER;401;;;1;3;10;1200;;1200;;4
10167;7;BALANCELLE;408;;;1;3;7;169;;169;;4
10169;1;Lave-linge, lave-linge séchant;103;;1;1;2;7;279;;279;;4
10169;2;Cuisinière, plaque de cuisson, four ou mini four;106;;1;1;2;7;199;;199;;4
10169;3;Four à micro-ondes;107;;1;1;2;7;69;;69;;4
10169;4;Cuiseur, friteuse, autocuiseur;113;;1;1;3;4;9;;9;;4
10169;5;Autre(s) appareil(s) électroménager(s);122;VENTILATEUR;1;1;3;7;9;;9;;4
10169;6;Téléphone fixe;216;;1;1;3;7;20;;20;;4
10169;7;TABLE ET CHAISES;401;;;1;3;7;179;;179;;4
